eco;name;pgn;parent;move_count;id;path;color
E60;P00;1. d4 Nf6 2. Nf3 g6 3. c4 Bg7;1. d4 Nf6 2. Nf3 g6 3. c4;6;7402;img/7402.webp;#d44ff6
A37;P00;1. Nf3 c5 2. c4 Nf6 3. Nc3 e6;1. Nf3 c5 2. c4 Nf6 3. Nc3;6;3977;img/3977.webp;#dd9f8a
C25;P00;1. e4 e5 2. Nc3 Nc6 3. f4 Bc5;1. e4 e5 2. Nc3 Nc6 3. f4;6;5551;img/5551.webp;#65ed3a
B12;P00;1. e4 c6 2. d4 d5 3. Nd2 dxe4;1. e4 c6 2. d4 d5 3. Nd2;6;4743;img/4743.webp;#46b75c
A06;P00;1. Nf3 d5 2. b3 Nf6 3. Bb2 g6;1. Nf3 d5 2. b3 Nf6 3. Bb2;6;3837;img/3837.webp;#79682e
C23;Bishop's Opening: Thorold Gambit;1. e4 e5 2. Bc4 b5 3. Bxb5 f5;1. e4 e5 2. Bc4 b5 3. Bxb5;6;1695;img/1695.webp;#870b25
A00;P00;1. e3 e5 2. Nc3 d5 3. f4 exf4;1. e3 e5 2. Nc3 d5 3. f4;6;3651;img/3651.webp;#4ed482
A06;P00;1. Nf3 d5 2. b3 Nf6 3. Bb2 c5;1. Nf3 d5 2. b3 Nf6 3. Bb2;6;3755;img/3755.webp;#79682e
A08;King's Indian Attack: French Variation;1. Nf3 d5 2. g3 c5 3. Bg2 Nc6;1. Nf3 d5 2. g3 c5 3. Bg2;6;252;img/252.webp;#cc8d39
C24;P00;1. e4 e5 2. Bc4 Nf6 3. d3 Be7;1. e4 e5 2. Bc4 Nf6 3. d3;6;5500;img/5500.webp;#131462
B15;P00;1. e4 c6 2. d4 d5 3. Nf3 dxe4;1. e4 c6 2. d4 d5 3. Nf3;6;4726;img/4726.webp;#91dbaa
B21;P00;1. d4 c5 2. e4 cxd4 3. Nf3 e5;1. d4 c5 2. e4 cxd4 3. Nf3;6;4812;img/4812.webp;#54271a
A07;P00;1. Nf3 d5 2. g3 g6 3. Bg2 Bg7;1. Nf3 d5 2. g3 g6 3. Bg2;6;3771;img/3771.webp;#79adbc
C24;P00;1. e4 e5 2. Bc4 Nf6 3. d3 Nc6;1. e4 e5 2. Bc4 Nf6 3. d3;6;5512;img/5512.webp;#131462
A43;Benoni Defense: Woozle;1. d4 c5 2. d5 Nf6 3. Nc3 Qa5;1. d4 c5 2. d5 Nf6 3. Nc3;6;496;img/496.webp;#3d6414
C23;Bishop's Opening: del Rio Variation;1. e4 e5 2. Bc4 Bc5 3. c3 Qg5;1. e4 e5 2. Bc4 Bc5 3. c3;6;1696;img/1696.webp;#870b25
A17;English Opening: Anglo-Indian Defense, Queen's Indian Formation;1. c4 Nf6 2. Nc3 e6 3. Nf3 b6;1. c4 Nf6 2. Nc3 e6 3. Nf3;6;335;img/335.webp;#2a3ced
C33;King's Gambit Accepted: Bishop's Gambit, Lopez Defense;1. e4 e5 2. f4 exf4 3. Bc4 c6;1. e4 e5 2. f4 exf4 3. Bc4;6;1844;img/1844.webp;#3c190b
C33;King's Gambit Accepted: Bishop's Gambit, Bledow Variation;1. e4 e5 2. f4 exf4 3. Bc4 d5;1. e4 e5 2. f4 exf4 3. Bc4;6;1827;img/1827.webp;#3c190b
A04;Zukertort Opening: Arctic Defense, Drunken Knight Variation;1. Nf3 f6 2. e4 Nh6 3. d4 Nf7;1. Nf3 f6 2. e4 Nh6 3. d4;6;195;img/195.webp;#78146f
C33;King's Gambit Accepted: Bishop's Gambit, Gianutio Gambit;1. e4 e5 2. f4 exf4 3. Bc4 f5;1. e4 e5 2. f4 exf4 3. Bc4;6;1840;img/1840.webp;#3c190b
B00;Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Vehre Variation;1. e4 Nc6 2. d4 d5 3. Nc3 Nf6;1. e4 Nc6 2. d4 d5 3. Nc3;6;776;img/776.webp;#6fd6ef
A30;P00;1. c4 c5 2. Nf3 Nf6 3. Nc3 e6;1. c4 c5 2. Nf3 Nf6 3. Nc3;6;3878;img/3878.webp;#b4bf38
C60;Ruy Lopez: Fianchetto Defense;1. e4 e5 2. Nf3 Nc6 3. Bb5 g6;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2391;img/2391.webp;#248e9f
C21;Danish Gambit Accepted: Svenonius Defense;1. e4 e5 2. d4 exd4 3. c3 Ne7;1. e4 e5 2. d4 exd4 3. c3;6;1664;img/1664.webp;#0e2e39
C23;P00;1. e4 e5 2. Bc4 Bc5 3. c3 Nf6;1. e4 e5 2. Bc4 Bc5 3. c3;6;5498;img/5498.webp;#870b25
B29;P00;1. e4 c5 2. Nf3 Nf6 3. e5 Nd5;1. e4 c5 2. Nf3 Nf6 3. e5;6;4909;img/4909.webp;#8d42da
C10;French Defense: Rubinstein Variation;1. e4 e6 2. d4 d5 3. Nc3 dxe4;1. e4 e6 2. d4 d5 3. Nc3;6;1530;img/1530.webp;#2443f3
C63;Ruy Lopez: Schliemann Defense;1. e4 e5 2. Nf3 Nc6 3. Bb5 f5;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2408;img/2408.webp;#487c07
A04;P00;1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6;1. Nf3 e5 2. Nxe5 Nc6;5;3734;img/3734.webp;#78146f
C41;Philidor Defense: Exchange Variation;1. e4 e5 2. Nf3 d6 3. d4 exd4;1. e4 e5 2. Nf3 d6 3. d4;6;2006;img/2006.webp;#a5b564
C60;Ruy Lopez: Spanish Countergambit;1. e4 e5 2. Nf3 Nc6 3. Bb5 d5;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2398;img/2398.webp;#248e9f
C31;King's Gambit Declined: Falkbeer Countergambit, Miles Gambit;1. e4 e5 2. f4 d5 3. exd5 Bc5;1. e4 e5 2. f4 d5 3. exd5;6;1805;img/1805.webp;#327698
C60;Ruy Lopez: Rotary-Albany Gambit;1. e4 e5 2. Nf3 Nc6 3. Bb5 b6;1. e4 e5 2. Nf3 Nc6 3. Bb5;6;2397;img/2397.webp;#248e9f
B15;P00;1. e4 c6 2. d4 d5 3. Nc3 dxe4;1. e4 c6 2. d4 d5 3. Nc3;6;4742;img/4742.webp;#91dbaa
A18;P00;1. c4 Nf6 2. Nc3 g6 3. g3 Bg7;1. c4 Nf6 2. Nc3 g6 3. g3;6;7813;img/7813.webp;#45c2c8
A17;P00;1. c4 Nf6 2. Nc3 e6 3. Nf3 d5;1. c4 Nf6 2. Nc3 e6 3. Nf3;6;7032;img/7032.webp;#2a3ced
B06;P00;1. d4 g6 2. Nf3 Bg7 3. Bf4 c5;1. d4 g6 2. Nf3 Bg7 3. Bf4;6;4120;img/4120.webp;#9d08ad
A12;P00;1. Nf3 d5 2. b3 c5 3. c4 dxc4;1. Nf3 d5 2. b3 c5 3. c4;6;3762;img/3762.webp;#60c7e6
B12;Caro-Kann Defense: De Bruycker Defense;1. e4 c6 2. d4 Na6 3. Nc3 Nc7;1. e4 c6 2. d4 Na6 3. Nc3;6;1019;img/1019.webp;#46b75c
C26;Bishop's Opening: Horwitz Gambit;1. e4 e5 2. Bc4 Nf6 3. Nc3 b5;1. e4 e5 2. Bc4 Nf6 3. Nc3;6;1737;img/1737.webp;#905f62
