eco;name;pgn;parent;move_count;id;path_png;path_webp;path_svg;complex;color
A54;Old Indian Defense: Two Knights Variation;1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3;1. d4 Nf6 2. c4 d6 3. Nc3 e5;7;591;..shared/img/png/591.png;..shared/img/webp/591.webp;..shared/img/svg/591.svg;Old Indian Defense;#05ba58
A15;P00;1. Nf3 Nf6 2. c4 e6 3. g3 a6 4. Bg2;1. Nf3 Nf6 2. c4 e6 3. g3 a6;7;3869;..shared/img/png/3869.png;..shared/img/webp/3869.webp;..shared/img/svg/3869.svg;P00;#47377d
A13;P00;1. Nf3 Nf6 2. c4 e6 3. g3 b6 4. Bg2;1. Nf3 Nf6 2. c4 e6 3. g3 b6;7;3893;..shared/img/png/3893.png;..shared/img/webp/3893.webp;..shared/img/svg/3893.svg;P00;#0f27ce
D15;P00;1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Qc2;1. d4 d5 2. c4 c6 3. Nf3 Nf6;7;7559;..shared/img/png/7559.png;..shared/img/webp/7559.webp;..shared/img/svg/7559.svg;P00;#66e902
B23;P00;1. e4 c5 2. Nc3 d6 3. f4 Nc6 4. Nf3;1. e4 c5 2. Nc3 d6 3. f4 Nc6;7;5143;..shared/img/png/5143.png;..shared/img/webp/5143.webp;..shared/img/svg/5143.svg;P00;#c47c10
A13;P00;1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2;1. Nf3 Nf6 2. c4 e6 3. g3 d5;7;3852;..shared/img/png/3852.png;..shared/img/webp/3852.webp;..shared/img/svg/3852.svg;P00;#0f27ce
D90;Grünfeld Defense: Three Knights Variation;1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3;1. d4 Nf6 2. c4 g6 3. Nc3 d5;7;3083;..shared/img/png/3083.png;..shared/img/webp/3083.webp;..shared/img/svg/3083.svg;Grünfeld Defense;#05163c
E60;King's Indian Defense: Santasiere Variation;1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. b4;1. d4 Nf6 2. c4 g6 3. Nf3 Bg7;7;3291;..shared/img/png/3291.png;..shared/img/webp/3291.webp;..shared/img/svg/3291.svg;King's Indian Defense;#652248
E60;P00;1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3;1. d4 Nf6 2. c4 g6 3. Nf3 Bg7;7;7382;..shared/img/png/7382.png;..shared/img/webp/7382.webp;..shared/img/svg/7382.svg;P00;#652248
A00;Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit;1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3;1. g4 d5 2. e4 dxe4 3. Nc3 e5;7;40;..shared/img/png/40.png;..shared/img/webp/40.webp;..shared/img/svg/40.svg;Grob Opening;#bcc317
